time,open,high,low,close,tick_volume,spread,real_volume
2022-06-14,3768.2,3807.0,3708.2,3741.2,153960,6,0
2022-06-15,3748.0,3841.9,3722.6,3794.6,166387,6,0
2022-06-16,3810.6,3831.6,3640.6,3672.1,174075,0,0
2022-06-17,3682.6,3711.6,3637.6,3674.1,168290,6,0
2022-06-20,3693.4,3723.7,3660.7,3716.1,71127,6,0
2022-06-21,3713.1,3782.6,3709.6,3767.4,79347,6,0
2022-06-22,3763.8,3804.7,3692.6,3760.5,115753,1,0
2022-06-23,3755.4,3805.1,3734.6,3797.7,138679,0,0
2022-06-24,3783.2,3918.4,3781.2,3918.4,75507,6,0
2022-06-27,3903.1,3947.1,3891.6,3904.5,105863,1,0
2022-06-28,3906.3,3950.0,3822.5,3824.8,107099,0,0
2022-06-29,3829.4,3839.4,3800.4,3820.2,121007,0,0
2022-06-30,3822.2,3822.4,3740.5,3788.3,125030,1,0
2022-07-01,3774.2,3832.7,3744.2,3827.7,141953,0,0
2022-07-04,3822.2,3825.4,3793.4,3813.4,47791,6,0
2022-07-05,3823.1,3855.9,3743.0,3834.4,135643,0,0
2022-07-06,3834.6,3873.9,3807.9,3848.4,142310,4,0
2022-07-07,3851.1,3904.4,3831.4,3902.7,74827,6,0
2022-07-08,3898.5,3920.2,3866.7,3901.0,102763,3,0
2022-07-11,3889.3,3898.8,3848.8,3856.5,88038,6,0
2022-07-12,3859.4,3875.4,3803.6,3823.1,96555,6,0
2022-07-13,3821.8,3866.0,3751.1,3802.3,133436,6,0
2022-07-14,3792.3,3804.8,3721.6,3792.4,123156,0,0
2022-07-15,3800.2,3865.2,3778.5,3863.5,94301,6,0
2022-07-18,3867.9,3907.5,3818.6,3832.1,78878,6,0
2022-07-19,3835.6,3941.2,3832.3,3934.7,69299,6,0
2022-07-20,3941.3,3975.5,3921.1,3960.5,86216,6,0
2022-07-21,3951.0,4000.3,3927.9,4000.0,99355,0,0
2022-07-22,3985.5,4013.6,3939.0,3963.0,91779,6,0
2022-07-25,3957.1,3987.0,3944.5,3968.3,82669,1,0
2022-07-26,3955.2,3963.4,3912.2,3921.7,63669,6,0
2022-07-27,3949.9,4042.3,3943.1,4023.0,76103,6,0
2022-07-28,4017.5,4080.3,3993.9,4072.8,77375,6,0
2022-07-29,4096.5,4141.5,4078.2,4132.5,73717,6,0
2022-08-01,4117.0,4146.3,4096.0,4118.8,79877,6,0
2022-08-02,4115.5,4141.7,4079.7,4093.0,94881,0,0
2022-08-03,4096.6,4169.1,4083.6,4156.1,71340,6,0
2022-08-04,4151.7,4172.2,4135.2,4152.5,78486,6,0
2022-08-05,4151.5,4165.2,4102.7,4145.2,77985,0,0
2022-08-08,4136.7,4187.7,4129.2,4141.4,72974,6,0
2022-08-09,4146.7,4154.9,4112.4,4124.2,63976,6,0
2022-08-10,4128.5,4212.4,4113.1,4210.1,62216,6,0
2022-08-11,4206.5,4259.0,4201.2,4210.0,61034,6,0
2022-08-12,4212.9,4280.7,4206.7,4279.4,42863,6,0
2022-08-15,4273.3,4302.8,4248.0,4298.5,42131,1,0
2022-08-16,4292.3,4326.1,4277.8,4306.1,35148,6,0
2022-08-17,4304.9,4313.6,4253.7,4275.9,46197,6,0
2022-08-18,4274.7,4294.0,4256.9,4286.5,37513,6,0
2022-08-19,4284.8,4286.6,4219.3,4229.3,33901,1,0
2022-08-22,4216.9,4220.1,4130.5,4142.8,37321,6,0
2022-08-23,4145.7,4160.5,4117.8,4128.2,42096,6,0
2022-08-24,4129.3,4157.0,4109.9,4141.7,40185,4,0
2022-08-25,4148.2,4198.7,4141.9,4198.7,31544,0,0
2022-08-26,4192.4,4215.6,4057.9,4059.4,31476,4,0
2022-08-29,4024.4,4063.7,4006.9,4029.7,57236,1,0
2022-08-30,4034.2,4072.2,3964.4,3989.4,45398,1,0
2022-08-31,3983.3,4017.3,3954.3,3954.8,49443,0,0
2022-09-01,3945.9,3967.4,3902.9,3967.4,37552,6,0
2022-09-02,3970.0,4017.8,3905.0,3919.4,30320,6,0
2022-09-05,3918.9,3942.6,3917.9,3935.0,26006,6,0
2022-09-06,3940.7,3962.8,3887.0,3910.3,42465,6,0
2022-09-07,3911.2,3989.0,3884.2,3980.7,41695,3,0
2022-09-08,3983.0,4010.5,3944.0,4005.5,41424,6,0
2022-09-09,4006.4,4078.4,4006.2,4069.1,40147,1,0
2022-09-12,4081.6,4121.6,4064.7,4115.0,57538,6,0
2022-09-13,4117.6,4149.2,3923.2,3935.5,85337,6,0
2022-09-14,3941.4,3965.1,3913.2,3948.0,127034,6,0
2022-09-15,3955.7,3961.4,3889.7,3903.1,83238,6,0
2022-09-16,3881.1,3884.0,3837.6,3872.8,85856,6,0
2022-09-19,3872.5,3903.5,3831.7,3903.2,64320,6,0
2022-09-20,3910.1,3921.1,3828.6,3858.3,59840,2,0
2022-09-21,3859.1,3910.2,3790.3,3790.3,73130,6,0
2022-09-22,3782.7,3818.7,3749.4,3757.4,94328,6,0
2022-09-23,3764.4,3769.4,3645.9,3693.9,81589,6,0
2022-09-26,3697.8,3716.3,3644.3,3654.1,103457,6,0
2022-09-27,3656.5,3718.6,3622.3,3649.2,85244,0,0
2022-09-28,3649.9,3738.7,3601.4,3719.7,103929,6,0
2022-09-29,3722.4,3722.9,3609.4,3641.9,106692,6,0
2022-09-30,3648.7,3680.7,3584.0,3591.0,114610,6,0
2022-10-03,3591.2,3699.3,3559.6,3679.2,96386,6,0
2022-10-04,3679.7,3794.0,3673.6,3794.0,83963,6,0
2022-10-05,3785.4,3808.2,3731.1,3784.9,67464,6,0
2022-10-06,3783.1,3807.0,3738.1,3743.7,93256,6,0
2022-10-07,3736.2,3751.8,3620.6,3639.4,84262,6,0
2022-10-10,3614.9,3656.1,3589.2,3613.0,83141,0,0
2022-10-11,3619.0,3643.4,3569.4,3589.9,108198,1,0
2022-10-12,3593.6,3625.3,3575.5,3577.7,109551,6,0
2022-10-13,3585.3,3687.8,3492.4,3672.9,105373,6,0
2022-10-14,3669.8,3724.1,3581.6,3589.3,117814,6,0
2022-10-17,3600.0,3693.4,3595.7,3681.4,77078,6,0
2022-10-18,3706.0,3768.3,3688.6,3725.1,90045,6,0
2022-10-19,3746.7,3765.5,3668.5,3698.5,89982,6,0
2022-10-20,3700.3,3738.6,3657.4,3665.4,96553,6,0
2022-10-21,3659.2,3760.5,3633.4,3755.5,100571,1,0
2022-10-24,3791.4,3813.9,3728.8,3801.6,114416,6,0
2022-10-25,3799.4,3866.4,3782.4,3862.2,70213,0,0
2022-10-26,3832.7,3889.5,3816.4,3834.2,72694,6,0
2022-10-27,3843.8,3862.9,3805.5,3812.0,90893,3,0
2022-10-28,3791.6,3908.7,3768.5,3903.4,79198,6,0
2022-10-31,3899.6,3903.1,3865.6,3875.5,63462,4,0
2022-11-01,3883.1,3920.6,3845.9,3854.8,68622,1,0
2022-11-02,3861.7,3898.9,3753.7,3761.1,77691,1,0
2022-11-03,3750.7,3775.5,3698.0,3719.2,78834,6,0
2022-11-04,3715.4,3794.0,3705.4,3765.0,96049,6,0
2022-11-07,3748.3,3816.8,3745.7,3811.0,70602,1,0
2022-11-08,3808.3,3862.1,3788.3,3831.4,56400,0,0
2022-11-09,3832.5,3844.5,3744.8,3749.8,79059,6,0
2022-11-10,3751.2,3960.2,3746.1,3955.9,78418,6,0
2022-11-11,3962.3,4004.8,3946.2,3996.3,76110,6,0
2022-11-14,3986.0,4012.8,3959.5,3963.0,61748,6,0
2022-11-15,3971.9,4046.1,3955.6,3995.9,88513,6,0
2022-11-16,3984.9,4010.9,3957.1,3964.5,75474,6,0
2022-11-17,3970.5,3985.0,3907.6,3951.6,64213,6,0
2022-11-18,3954.6,3989.4,3937.9,3968.7,62336,6,0
2022-11-21,3965.9,3966.6,3933.8,3954.8,50727,6,0
2022-11-22,3954.1,4008.7,3942.1,4006.9,42205,6,0
2022-11-23,4007.4,4036.3,3998.9,4031.2,42661,6,0
2022-11-24,4036.2,4046.3,4034.6,4039.8,16442,6,0
2022-11-25,4042.4,4043.1,4022.4,4030.5,23633,6,0
2022-11-28,4019.8,4020.1,3958.6,3966.8,39518,6,0
2022-11-29,3969.9,3988.5,3940.2,3959.7,47767,6,0
2022-11-30,3956.6,4081.8,3940.6,4081.3,62790,6,0
2022-12-01,4087.6,4106.3,4052.9,4079.0,64970,6,0
2022-12-02,4075.8,4084.1,4005.3,4073.9,56758,6,0
2022-12-05,4068.0,4073.0,3987.2,4001.7,49613,3,0
2022-12-06,4009.2,4014.5,3921.2,3943.7,54168,1,0
2022-12-07,3946.9,3960.8,3914.3,3935.8,63110,0,0
2022-12-08,3937.2,3976.7,3915.7,3965.6,49927,2,0
2022-12-09,3966.1,3989.9,3931.0,3936.7,53826,3,0
